year,district,population,week,weekly hospitalized
2022,Chittagong,3230507,1,1
2022,Chittagong,3230507,2,0
2022,Chittagong,3230507,3,0
2022,Chittagong,3230507,4,0
2022,Chittagong,3230507,5,0
2022,Chittagong,3230507,6,1
2022,Chittagong,3230507,7,0
2022,Chittagong,3230507,8,0
2022,Chittagong,3230507,9,0
2022,Chittagong,3230507,10,2
2022,Chittagong,3230507,11,0
2022,Chittagong,3230507,12,1
2022,Chittagong,3230507,13,0
2022,Chittagong,3230507,14,0
2022,Chittagong,3230507,15,0
2022,Chittagong,3230507,16,1
2022,Chittagong,3230507,17,0
2022,Chittagong,3230507,18,0
2022,Chittagong,3230507,19,0
2022,Chittagong,3230507,20,0
2022,Chittagong,3230507,21,0
2022,Chittagong,3230507,22,0
2022,Chittagong,3230507,23,1
2022,Chittagong,3230507,24,6
2022,Chittagong,3230507,25,2
2022,Chittagong,3230507,26,5
2022,Chittagong,3230507,27,5
2022,Chittagong,3230507,28,10
2022,Chittagong,3230507,29,11
2022,Chittagong,3230507,30,15
2022,Chittagong,3230507,31,18
2022,Chittagong,3230507,32,12
2022,Chittagong,3230507,33,16
2022,Chittagong,3230507,34,26
2022,Chittagong,3230507,35,46
2022,Chittagong,3230507,36,70
2022,Chittagong,3230507,37,137
2022,Chittagong,3230507,38,103
2022,Chittagong,3230507,39,175
2022,Chittagong,3230507,40,186
2022,Chittagong,3230507,41,335
2022,Chittagong,3230507,42,378
2022,Chittagong,3230507,43,526
2022,Chittagong,3230507,44,483
2022,Chittagong,3230507,45,487
2022,Chittagong,3230507,46,533
2022,Chittagong,3230507,47,437
2022,Chittagong,3230507,48,298
2022,Chittagong,3230507,49,303
2022,Chittagong,3230507,50,143
2022,Chittagong,3230507,51,65
2022,Chittagong,3230507,52,53
2023,Chittagong,3230507,1,25
2023,Chittagong,3230507,2,8
2023,Chittagong,3230507,3,5
2023,Chittagong,3230507,4,4
2023,Chittagong,3230507,5,1
2023,Chittagong,3230507,6,1
2023,Chittagong,3230507,7,4
2023,Chittagong,3230507,8,2
2023,Chittagong,3230507,9,7
2023,Chittagong,3230507,10,0
2023,Chittagong,3230507,11,1
2023,Chittagong,3230507,12,1
2023,Chittagong,3230507,13,0
2023,Chittagong,3230507,14,0
2023,Chittagong,3230507,15,2
2023,Chittagong,3230507,16,4
2023,Chittagong,3230507,17,0
2023,Chittagong,3230507,18,1
2023,Chittagong,3230507,19,2
2023,Chittagong,3230507,20,4
2023,Chittagong,3230507,21,16
2023,Chittagong,3230507,22,22
2023,Chittagong,3230507,23,12
2023,Chittagong,3230507,24,40
2023,Chittagong,3230507,25,57
2023,Chittagong,3230507,26,97
2023,Chittagong,3230507,27,281
2023,Chittagong,3230507,28,311
2023,Chittagong,3230507,29,444
2023,Chittagong,3230507,30,383
2023,Chittagong,3230507,31,652
2023,Chittagong,3230507,32,653
2023,Chittagong,3230507,33,565
2023,Chittagong,3230507,34,727
2023,Chittagong,3230507,35,789
2023,Chittagong,3230507,36,766
2023,Chittagong,3230507,37,905
2023,Chittagong,3230507,38,1031
2023,Chittagong,3230507,39,971
2023,Chittagong,3230507,40,840
2023,Chittagong,3230507,41,661
2023,Chittagong,3230507,42,594
2023,Chittagong,3230507,43,458
2023,Chittagong,3230507,44,425
2023,Chittagong,3230507,45,349
2023,Chittagong,3230507,46,312
2023,Chittagong,3230507,47,239
2023,Chittagong,3230507,48,195
2023,Chittagong,3230507,49,141
2023,Chittagong,3230507,50,93
2023,Chittagong,3230507,51,57
2023,Chittagong,3230507,52,43
2024,Chittagong,3230507,1,17
2024,Chittagong,3230507,2,19
2024,Chittagong,3230507,3,14
2024,Chittagong,3230507,4,20
2024,Chittagong,3230507,5,6
2024,Chittagong,3230507,6,6
2024,Chittagong,3230507,7,2
2024,Chittagong,3230507,8,8
2024,Chittagong,3230507,9,7
2024,Chittagong,3230507,10,4
2024,Chittagong,3230507,11,10
2024,Chittagong,3230507,12,8
2024,Chittagong,3230507,13,2
2024,Chittagong,3230507,14,1
2024,Chittagong,3230507,15,4
2024,Chittagong,3230507,16,4
2024,Chittagong,3230507,17,3
2024,Chittagong,3230507,18,6
2024,Chittagong,3230507,19,0
2024,Chittagong,3230507,20,3
2024,Chittagong,3230507,21,5
2024,Chittagong,3230507,22,5
2024,Chittagong,3230507,23,10
2024,Chittagong,3230507,24,5
2024,Chittagong,3230507,25,10
2024,Chittagong,3230507,26,26
2024,Chittagong,3230507,27,32
2024,Chittagong,3230507,28,40
2024,Chittagong,3230507,29,30
2024,Chittagong,3230507,30,44
2024,Chittagong,3230507,31,39
2024,Chittagong,3230507,32,57
2024,Chittagong,3230507,33,31
2024,Chittagong,3230507,34,47
2024,Chittagong,3230507,35,61
2024,Chittagong,3230507,36,73
2024,Chittagong,3230507,37,131
2024,Chittagong,3230507,38,277
2024,Chittagong,3230507,39,306
2024,Chittagong,3230507,40,305
2024,Chittagong,3230507,41,393
2024,Chittagong,3230507,42,282
2024,Chittagong,3230507,43,327
2024,Chittagong,3230507,44,62
2024,Chittagong,3230507,44,242
2024,Chittagong,3230507,45,251
2024,Chittagong,3230507,46,376
2024,Chittagong,3230507,47,207
2024,Chittagong,3230507,48,109
2024,Chittagong,3230507,50,123
2024,Chittagong,3230507,51,218
2024,Chittagong,3230507,52,21
2024,Chittagong,3230507,52,2
2022,Comilla,440233,1,0
2022,Comilla,440233,2,0
2022,Comilla,440233,3,0
2022,Comilla,440233,4,1
2022,Comilla,440233,5,0
