district,year,week,temp,rainfall,humidity
chattagram,1960,52,22,0,76
chattagram,1961,1,21,0,71
chattagram,1961,2,19,0,67
chattagram,1961,3,19,0,77
chattagram,1961,4,21,0,76
chattagram,1961,5,22,4,80
chattagram,1961,6,20,1,69
chattagram,1961,7,19,0,64
chattagram,1961,8,22,0,69
chattagram,1961,9,24,1,81
chattagram,1961,10,25,0,85
chattagram,1961,11,26,0,83
chattagram,1961,12,27,12,83
chattagram,1961,13,27,2,85
chattagram,1961,14,28,0,80
chattagram,1961,15,29,0,80
chattagram,1961,16,28,35,83
chattagram,1961,17,29,0,83
chattagram,1961,18,29,7,77
chattagram,1961,19,30,11,79
chattagram,1961,20,30,15,81
chattagram,1961,21,29,23,87
chattagram,1961,22,28,176,93
chattagram,1961,23,27,301,93
chattagram,1961,24,26,432,90
chattagram,1961,25,29,15,82
chattagram,1961,26,29,102,84
chattagram,1961,27,26,306,96
chattagram,1961,28,26,567,95
chattagram,1961,29,27,22,88
chattagram,1961,30,28,265,87
chattagram,1961,31,27,645,94
chattagram,1961,32,28,81,88
chattagram,1961,33,28,9,86
chattagram,1961,34,28,131,87
chattagram,1961,35,27,95,91
chattagram,1961,36,27,14,86
chattagram,1961,37,28,32,83
chattagram,1961,38,27,36,87
chattagram,1961,39,27,28,83
chattagram,1961,40,28,16,82
chattagram,1961,41,28,35,84
chattagram,1961,42,28,64,84
chattagram,1961,43,26,217,84
chattagram,1961,44,27,0,80
chattagram,1961,45,24,2,81
chattagram,1961,46,23,0,73
chattagram,1961,47,21,0,72
chattagram,1961,48,21,0,73
chattagram,1961,49,20,0,75
chattagram,1961,50,19,0,70
chattagram,1961,51,18,0,72
chattagram,1961,52,19,0,73
chattagram,1962,1,17,0,70
chattagram,1962,2,19,0,74
chattagram,1962,3,17,0,67
chattagram,1962,4,20,6,70
chattagram,1962,5,19,0,71
chattagram,1962,6,21,0,73
chattagram,1962,7,22,0,69
chattagram,1962,8,23,0,71
chattagram,1962,9,23,42,75
chattagram,1962,10,24,3,77
chattagram,1962,11,25,0,67
chattagram,1962,12,27,0,73
chattagram,1962,13,28,254,80
chattagram,1962,14,28,19,86
chattagram,1962,15,28,0,85
chattagram,1962,16,28,1,78
chattagram,1962,17,27,9,76
chattagram,1962,18,27,48,82
chattagram,1962,19,28,0,77
chattagram,1962,20,30,5,80
chattagram,1962,21,30,68,83
chattagram,1962,22,29,122,85
chattagram,1962,23,27,268,89
chattagram,1962,24,26,185,90
chattagram,1962,25,27,180,86
chattagram,1962,26,27,72,88
chattagram,1962,27,29,1,82
chattagram,1962,28,29,49,85
chattagram,1962,29,28,126,91
chattagram,1962,30,27,329,94
chattagram,1962,31,28,9,90
chattagram,1962,32,28,29,89
chattagram,1962,33,27,91,92
chattagram,1962,34,27,142,90
chattagram,1962,35,28,18,85
chattagram,1962,36,29,27,84
chattagram,1962,37,28,117,85
chattagram,1962,38,28,57,87
chattagram,1962,39,28,24,86
chattagram,1962,40,28,73,85
chattagram,1962,41,27,57,82
chattagram,1962,42,27,0,81
chattagram,1962,43,27,18,85
chattagram,1962,44,24,130,87
chattagram,1962,45,24,0,79
chattagram,1962,46,24,0,78
chattagram,1962,47,23,0,81
chattagram,1962,48,21,0,77
chattagram,1962,49,22,0,77
chattagram,1962,50,20,0,75
chattagram,1962,51,19,0,79
chattagram,1962,52,19,0,75
chattagram,1963,1,17,0,70
chattagram,1963,2,19,0,71
chattagram,1963,3,19,0,66
chattagram,1963,4,20,0,72
chattagram,1963,5,20,0,67
chattagram,1963,6,21,0,73
chattagram,1963,7,23,0,80
chattagram,1963,8,25,0,63
chattagram,1963,9,24,0,66
chattagram,1963,10,25,0,98
chattagram,1963,11,25,27,76
chattagram,1963,12,26,3,78
chattagram,1963,13,27,0,65
chattagram,1963,14,27,0,84
chattagram,1963,15,26,23,79
chattagram,1963,16,26,17,83
chattagram,1963,17,28,19,78
chattagram,1963,18,26,83,80
chattagram,1963,19,26,50,86
chattagram,1963,20,28,73,79
chattagram,1963,21,31,8,86
chattagram,1963,22,37,2,100
chattagram,1963,23,29,156,98
chattagram,1963,24,26,421,97
chattagram,1963,25,27,274,97
chattagram,1963,26,29,13,93
chattagram,1963,27,27,90,96
chattagram,1963,28,27,674,98
chattagram,1963,29,27,139,95
chattagram,1963,30,27,54,95
chattagram,1963,31,28,28,94
chattagram,1963,32,27,113,95
chattagram,1963,33,28,109,94
chattagram,1963,34,28,16,94
chattagram,1963,35,28,8,92
chattagram,1963,36,29,24,91
chattagram,1963,37,29,68,89
chattagram,1963,38,27,14,84
chattagram,1963,39,28,2,82
chattagram,1963,40,28,12,83
chattagram,1963,41,28,148,86
chattagram,1963,42,28,1,79
chattagram,1963,43,25,61,89
chattagram,1963,44,26,3,84
chattagram,1963,45,25,0,80
chattagram,1963,46,23,0,81
chattagram,1963,47,23,0,80
chattagram,1963,48,23,0,81
chattagram,1963,49,21,0,79
chattagram,1963,50,22,0,80
chattagram,1963,51,20,0,78
chattagram,1963,52,19,0,80
chattagram,1964,1,20,0,76
chattagram,1964,2,20,0,78
chattagram,1964,3,20,0,69
chattagram,1964,4,20,3,76
chattagram,1964,5,18,0,58
chattagram,1964,6,20,1,71
chattagram,1964,7,22,0,59
chattagram,1964,8,24,0,77
chattagram,1964,9,25,2,82
chattagram,1964,10,26,0,83
chattagram,1964,11,26,0,69
chattagram,1964,12,27,0,79
chattagram,1964,13,28,0,80
chattagram,1964,14,28,4,80
chattagram,1964,15,28,22,79
chattagram,1964,16,26,139,81
chattagram,1964,17,28,32,80
chattagram,1964,18,28,26,86
chattagram,1964,19,28,1,81
chattagram,1964,20,28,67,78
chattagram,1964,21,28,76,80
chattagram,1964,22,29,26,77
chattagram,1964,23,28,38,82
chattagram,1964,24,28,119,88
chattagram,1964,25,28,57,85
chattagram,1964,26,27,42,87
chattagram,1964,27,28,187,87
chattagram,1964,28,26,404,93
chattagram,1964,29,27,415,89
chattagram,1964,30,27,74,85
chattagram,1964,31,26,252,92
chattagram,1964,32,29,6,81
chattagram,1964,33,27,186,88
chattagram,1964,34,26,258,91
chattagram,1964,35,28,81,86
chattagram,1964,36,27,190,91
chattagram,1964,37,29,17,82
chattagram,1964,38,28,60,85
chattagram,1964,39,29,22,83
chattagram,1964,40,28,82,85
chattagram,1964,41,27,102,86
chattagram,1964,42,28,0,83
chattagram,1964,43,26,84,90
chattagram,1964,44,27,3,81
chattagram,1964,45,25,0,77
chattagram,1964,46,25,1,81
chattagram,1964,47,25,9,80
chattagram,1964,48,24,9,81
chattagram,1964,49,22,0,75
chattagram,1964,50,22,0,77
chattagram,1964,51,20,0,69
chattagram,1964,52,21,0,78
chattagram,1964,53,20,0,72
